country,city,latitude,longitude,population
Thailand,Bangkok,13.7525,100.4942,18007000
Thailand,Chiang Mai,18.7953,98.9986,1198000
Thailand,Nonthaburi,13.8667,100.5167,255671
Thailand,Pak Kret,13.9125,100.4978,184501
Thailand,Ban Bang Pu Mai,13.5441,100.6175,120058
Thailand,Ban Mangkon,13.6138,100.6104,102291
Thailand,Ban Talat Rangsit,13.9833,100.6167,79319
Thailand,Phuket,7.8881,98.3975,77610
Thailand,Samut Sakhon,13.5486,100.2775,60103
Thailand,Ban Rangsit,14.0167,100.75,58838
Indonesia,Jakarta,-6.175,106.8275,33756000
Indonesia,Surabaya,-7.2458,112.7378,6998000
Indonesia,Medan,3.5894,98.6739,3632000
Indonesia,Malang,-7.98,112.62,2795209
Indonesia,Bekasi,-6.2349,106.9923,2590257
Indonesia,Bekasi Kota,-6.2333,107,2381053
Indonesia,Tangerang,-6.1703,106.6403,2237006
Indonesia,Depok,-6.394,106.8225,2123349
Indonesia,Semarang,-6.99,110.4225,1621384
Indonesia,Palembang,-2.9861,104.7556,1535952
Malaysia,Kuala Lumpur,3.1478,101.6953,8911000
Malaysia,Seberang Jaya,5.4083,100.3695,946092
Malaysia,Klang,3.0333,101.45,878000
Malaysia,Ipoh,4.5972,101.075,866772
Malaysia,George Town,5.4144,100.3292,708127
Malaysia,Petaling Jaya,3.0972,101.6444,638516
Malaysia,Kuantan,3.8167,103.3333,607778
Malaysia,Shah Alam,3.0722,101.5167,584340
Malaysia,Sungai Petani,5.65,100.5,544851
Malaysia,Johor Bahru,1.4556,103.7611,497097
Laos,Vientiane,17.98,102.63,948487
Laos,Xiangkhoang,19.4167,103.5,267172
Laos,Savannakhet,16.55,104.75,124000
Laos,Salavan,15.7167,106.4167,100900
Laos,Xai,20.6914,101.9861,79500
Laos,Pakxé,15.1167,105.7833,77900
Laos,Xaignabouli,19.25,101.75,75700
Laos,Ban Houayxay,20.2631,100.4336,70200
Laos,Thakhèk,17.4,104.8,70000
Laos,Champasak,14.8569,105.7533,62728
Vietnam,Ho Chi Minh City,10.7756,106.7019,15136000
Vietnam,Hanoi,21,105.85,8246600
Vietnam,Haiphong,20.8651,106.6838,2103500
Vietnam,Cần Thơ,10.0333,105.7833,1237300
Vietnam,Biên Hòa,10.95,106.8167,1104000
Vietnam,Thủ Đức,10.8266,106.7609,1013795
Vietnam,Huế,16.4667,107.5792,652572
Vietnam,Tân An,10.905,106.6994,618984
Vietnam,Bắc Ninh,21.1833,106.05,520000
Vietnam,Hải Dương,20.9397,106.3306,507469
Cambodia,Phnom Penh,11.5694,104.9211,2129371
Cambodia,Siem Reap,13.3622,103.8597,147866
Cambodia,Battambang,13.1,103.2,130000
Cambodia,Kampong Cham,11.987,105.462,118242
Cambodia,Sisophon,13.5833,102.9833,99019
Cambodia,Paoy Paet,13.65,102.5667,98934
Cambodia,Kampong Trach,10.55,104.4667,83061
Cambodia,Sihanoukville,10.6333,103.5,71082
Cambodia,Samraong,14.25,103.5833,70944
Cambodia,Kratie,12.48,106.03,60000
Burma,Rangoon,16.795,96.16,5209541
Burma,Mandalay,21.9831,96.0844,1319452
Burma,Nay Pyi Taw,19.7475,96.115,1160242
Burma,Kyaukse,21.6131,96.1303,741071
Burma,Hpa-An,16.8906,97.6333,421525
Burma,Maungdaw,20.8167,92.3667,400000
Burma,Magway,20.15,94.95,289247
Burma,Pathein,16.7842,94.7333,287071
Burma,Bago,17.3333,96.4833,284179
Burma,Taunggyi,20.7836,97.0354,264804
Brunei,Bandar Seri Begawan,4.8903,114.9422,50000
