"field","unit"
"time","iso8601"
"weather_code","wmo code"
"temperature_2m_max","°C"
"temperature_2m_min","°C"
"temperature_2m_mean","°C"
"apparent_temperature_max","°C"
"apparent_temperature_min","°C"
"apparent_temperature_mean","°C"
"sunrise","iso8601"
"sunset","iso8601"
"daylight_duration","s"
"sunshine_duration","s"
"precipitation_sum","mm"
"rain_sum","mm"
"snowfall_sum","cm"
"precipitation_hours","h"
"wind_speed_10m_max","km/h"
"wind_gusts_10m_max","km/h"
"wind_direction_10m_dominant","°"
"shortwave_radiation_sum","MJ/m²"
"et0_fao_evapotranspiration","mm"
